co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,timestamp,city,hour,day,month,aqi_change_rate,temp
691.43,0.0,18.25,58.2,3.12,67.86,113.36,175.0,4.0,2026-06-24 22:13:30.649150,Rawalpindi,22,24,6,0.0,30.05
733.88,0.0,17.15,48.27,2.86,70.17,116.09,162.02,4.0,2026-06-25 00:06:07.425808,Rawalpindi,0,25,6,0.0,28.94
584.46,0.6,6.47,122.24,9.28,63.6,93.33,45.93,4.0,2026-06-25 05:01:32.401374,Rawalpindi,5,25,6,0.0,37.27
243.12,0.11,1.12,133.63,3.99,43.79,76.61,16.56,3.0,2026-06-25 08:54:13.892681,Rawalpindi,8,25,6,-1.0,39.56
244.95,0.11,1.94,136.33,3.53,42.53,74.1,18.58,3.0,2026-06-25 11:37:32.556366,Rawalpindi,11,25,6,0.0,40.06
432.47,0.08,14.19,104.41,3.76,50.38,82.77,52.61,4.0,2026-06-25 14:21:56.317265,Rawalpindi,14,25,6,1.0,37.27
662.12,0.0,21.84,100.66,5.53,71.43,99.42,135.9,4.0,2026-06-25 17:09:08.026458,Rawalpindi,17,25,6,0.0,34.12
785.39,0.0,20.61,71.5,3.98,83.75,110.99,122.05,5.0,2026-06-25 19:53:21.844212,Rawalpindi,19,25,6,1.0,29.49
793.06,0.0,18.62,66.89,3.48,83.78,110.3,107.95,5.0,2026-06-25 21:27:53.902427,Rawalpindi,21,25,6,0.0,32.43
744.52,0.0,13.36,65.34,3.17,79.17,103.55,86.16,5.0,2026-06-25 23:13:54.687891,Rawalpindi,23,25,6,0.0,31.7
665.7,0.69,9.37,91.4,5.84,72.78,95.12,60.42,4.0,2026-06-26 02:53:25.472463,Rawalpindi,2,26,6,-1.0,31.72
301.63,0.1,1.39,147.55,6.15,51.33,76.36,20.71,4.0,2026-06-26 06:52:31.421168,Rawalpindi,6,26,6,0.0,37.27
291.04,0.1,1.63,146.13,4.49,47.8,71.25,21.49,4.0,2026-06-26 10:20:41.497550,Rawalpindi,10,26,6,0.0,38.94
349.51,0.23,7.0,129.26,3.36,45.29,68.43,35.52,3.0,2026-06-26 13:07:38.655454,Rawalpindi,13,26,6,-1.0,37.27
607.0,0.0,20.0,83.15,3.74,54.15,80.08,105.64,4.0,2026-06-26 16:12:40.539233,Rawalpindi,16,26,6,1.0,34.49
690.12,0.0,21.08,77.0,4.33,65.16,92.63,147.8,4.0,2026-06-26 18:28:15.981299,Rawalpindi,18,26,6,0.0,32.83
747.89,0.0,18.49,67.78,4.32,78.73,107.9,212.06,5.0,2026-06-26 20:44:08.123523,Rawalpindi,20,26,6,1.0,31.72
759.66,0.0,17.32,65.7,4.37,83.03,112.72,231.42,5.0,2026-06-26 22:08:45.067098,Rawalpindi,22,26,6,0.0,30.61
786.95,0.0,15.7,57.96,4.0,89.71,120.34,239.6,5.0,2026-06-27 00:02:12.601270,Rawalpindi,0,27,6,0.0,30.05
444.68,0.25,2.8,143.34,5.89,59.22,94.17,40.99,4.0,2026-06-27 04:50:06.464313,Rawalpindi,4,27,6,-1.0,35.61
285.71,0.09,0.91,138.94,3.08,49.74,90.72,25.57,3.0,2026-06-27 07:45:57.255443,Rawalpindi,7,27,6,-1.0,38.38
262.97,0.09,0.95,134.16,2.46,47.01,90.13,24.35,3.0,2026-06-27 10:02:01.566131,Rawalpindi,10,27,6,0.0,38.94
262.24,0.1,1.61,131.36,2.4,45.67,89.27,25.53,3.0,2026-06-27 12:08:18.766033,Rawalpindi,12,27,6,0.0,39.49
364.48,0.06,8.87,108.48,2.57,46.42,87.1,46.1,3.0,2026-06-27 14:26:06.288501,Rawalpindi,14,27,6,0.0,37.83
458.07,0.0,11.49,91.12,2.56,51.6,89.62,62.8,4.0,2026-06-27 16:01:38.103354,Rawalpindi,16,27,6,1.0,34.49
493.59,0.0,11.03,84.51,2.42,55.32,93.89,70.47,4.0,2026-06-27 17:58:31.398883,Rawalpindi,17,27,6,0.0,33.38
479.48,0.0,10.19,83.08,2.4,55.33,95.46,78.94,4.0,2026-06-27 19:25:02.134353,Rawalpindi,19,27,6,0.0,33.38
475.5,0.0,9.62,80.04,2.83,57.22,100.92,117.91,4.0,2026-06-27 20:57:45.415966,Rawalpindi,20,27,6,0.0,32.27
486.72,0.0,9.83,76.09,3.02,59.09,103.88,135.83,4.0,2026-06-27 22:03:53.843106,Rawalpindi,22,27,6,0.0,31.72
536.76,0.0,10.75,61.68,2.83,63.26,108.31,150.43,4.0,2026-06-27 23:58:17.704868,Rawalpindi,23,27,6,0.0,31.16
331.42,0.37,3.23,101.79,6.43,50.69,124.21,37.38,4.0,2026-06-28 04:04:15.630002,Rawalpindi,4,28,6,0.0,37.66
209.08,0.11,0.88,124.54,4.43,49.71,121.56,19.65,4.0,2026-06-28 08:18:14.967798,Rawalpindi,8,28,6,0.0,40.05
195.36,0.1,1.03,125.07,3.26,46.82,114.83,19.65,4.0,2026-06-28 11:03:24.493575,Rawalpindi,11,28,6,0.0,40.61
244.5,0.2,5.37,114.27,3.03,44.39,110.06,34.08,4.0,2026-06-28 13:27:12.992473,Rawalpindi,13,28,6,0.0,39.49
340.62,0.0,10.76,90.63,2.83,45.61,109.01,55.85,4.0,2026-06-28 15:14:48.967177,Rawalpindi,15,28,6,0.0,39.19
391.23,0.0,12.05,76.02,2.63,46.26,108.47,67.85,4.0,2026-06-28 17:04:19.382611,Rawalpindi,17,28,6,0.0,37.2
397.22,0.0,11.87,66.66,2.52,45.46,107.35,78.31,4.0,2026-06-28 19:12:09.988843,Rawalpindi,19,28,6,0.0,36.02
412.48,0.0,12.22,57.56,2.7,45.8,106.84,117.51,4.0,2026-06-28 20:56:44.045872,Rawalpindi,20,28,6,0.0,34.87
423.65,0.0,12.46,53.82,2.83,46.13,107.57,138.24,4.0,2026-06-28 22:00:57.400370,Rawalpindi,22,28,6,0.0,31.16
454.4,0.0,12.94,43.86,2.69,47.22,109.5,153.13,4.0,2026-06-29 00:03:59.986617,Rawalpindi,0,29,6,0.0,31.72
323.11,0.42,3.28,112.75,6.37,52.82,138.41,46.85,4.0,2026-06-29 05:27:11.883605,Rawalpindi,5,29,6,0.0,40.18
212.53,0.15,1.73,133.31,4.06,51.9,126.85,27.25,4.0,2026-06-29 10:48:13.238392,Rawalpindi,10,29,6,0.0,41.16
280.24,0.0,7.21,105.99,4.12,49.81,119.35,44.41,4.0,2026-06-29 14:44:47.636164,Rawalpindi,14,29,6,0.0,40.33
335.73,0.0,8.68,85.86,3.78,50.85,122.23,59.42,4.0,2026-06-29 17:32:27.906943,Rawalpindi,17,29,6,0.0,38.3
334.03,0.0,8.41,75.67,3.39,50.56,122.23,69.93,4.0,2026-06-29 19:50:51.753712,Rawalpindi,19,29,6,0.0,33.38
340.78,0.0,8.3,70.27,3.18,50.87,122.27,77.44,4.0,2026-06-29 21:22:06.911063,Rawalpindi,21,29,6,0.0,32.27
357.44,0.0,7.99,60.3,2.84,50.96,121.64,79.95,4.0,2026-06-29 22:52:16.822954,Rawalpindi,22,29,6,0.0,31.72
364.68,0.0,7.59,58.2,2.99,50.86,121.48,76.17,4.0,2026-06-29 23:59:48.321926,Rawalpindi,23,29,6,0.0,31.72
397.09,0.68,5.03,91.12,6.62,49.19,108.17,44.9,4.0,2026-06-30 04:12:31.641347,Rawalpindi,4,30,6,0.0,38.88
280.7,0.16,1.42,143.08,7.17,65.54,135.96,27.17,4.0,2026-06-30 08:27:02.636043,Rawalpindi,8,30,6,0.0,42.72
220.81,0.09,1.51,134.9,4.37,57.95,134.21,24.75,4.0,2026-06-30 11:42:22.348019,Rawalpindi,11,30,6,0.0,43.67
219.4,0.02,4.18,117.36,4.33,50.18,131.59,29.74,4.0,2026-06-30 14:09:24.477500,Rawalpindi,14,30,6,0.0,41.75
285.72,0.0,6.0,99.33,3.82,50.53,133.56,41.75,4.0,2026-06-30 17:03:14.079694,Rawalpindi,17,30,6,0.0,38.51
372.84,0.0,6.3,84.03,3.8,53.07,116.98,46.23,4.0,2026-06-30 19:48:56.027374,Rawalpindi,19,30,6,0.0,33.38
394.62,0.0,5.79,81.42,3.77,52.58,108.69,43.75,4.0,2026-06-30 21:24:59.867712,Rawalpindi,21,30,6,0.0,35.5
422.53,0.0,4.88,77.87,4.14,50.82,92.92,38.63,4.0,2026-06-30 23:07:13.357151,Rawalpindi,23,30,6,0.0,31.72
450.78,0.52,5.97,78.23,5.82,48.21,72.08,26.37,3.0,2026-07-01 02:58:26.509864,Rawalpindi,2,1,7,-1.0,37.12
322.61,0.2,1.81,143.19,6.65,62.75,105.85,15.75,4.0,2026-07-01 07:14:44.712843,Rawalpindi,7,1,7,1.0,40.83
283.1,0.11,1.79,151.21,5.56,69.01,134.3,15.15,4.0,2026-07-01 11:20:46.126690,Rawalpindi,11,1,7,0.0,43.64
421.77,0.02,7.67,142.78,5.64,68.57,91.19,16.06,4.0,2026-07-01 14:25:45.266622,Rawalpindi,14,1,7,0.0,41.07
459.87,0.0,6.34,122.93,4.44,60.43,73.29,14.99,4.0,2026-07-01 17:10:24.746852,Rawalpindi,17,1,7,0.0,37.07
481.22,0.0,5.28,103.62,4.75,52.91,61.16,14.32,4.0,2026-07-01 19:47:31.544495,Rawalpindi,19,1,7,0.0,34.6
494.65,0.0,5.13,96.64,5.08,52.04,59.72,13.86,4.0,2026-07-01 21:23:50.866359,Rawalpindi,21,1,7,0.0,33.27
517.33,0.0,4.86,87.52,5.63,52.02,59.03,11.42,4.0,2026-07-01 23:09:46.496516,Rawalpindi,23,1,7,0.0,31.64
542.15,0.18,5.94,83.09,4.49,46.53,51.94,8.64,3.0,2026-07-02 02:48:55.570194,Rawalpindi,2,2,7,-1.0,32.93
440.42,0.19,1.81,145.86,3.03,58.79,68.24,9.53,4.0,2026-07-02 06:37:34.135235,Rawalpindi,6,2,7,1.0,33.73
342.33,0.13,1.67,145.17,2.77,53.79,69.65,8.98,4.0,2026-07-02 09:58:26.869604,Rawalpindi,9,2,7,0.0,35.05
353.59,0.16,2.96,149.85,3.12,57.74,76.22,11.26,4.0,2026-07-02 12:10:33.248531,Rawalpindi,12,2,7,0.0,34.49
545.13,0.0,9.57,144.5,4.37,84.76,97.99,23.41,5.0,2026-07-02 15:11:53.323523,Rawalpindi,15,2,7,1.0,32.27
661.11,0.0,7.91,133.85,4.99,102.9,114.04,30.2,5.0,2026-07-02 17:42:01.125382,Rawalpindi,17,2,7,0.0,30.61
683.19,0.0,8.53,122.57,4.72,102.46,112.76,32.47,5.0,2026-07-02 19:18:01.774384,Rawalpindi,19,2,7,0.0,30.05
741.04,0.0,10.14,93.13,4.03,99.0,107.78,25.14,5.0,2026-07-02 20:59:55.618457,Rawalpindi,20,2,7,0.0,29.49
749.49,0.0,10.15,81.24,4.18,93.74,101.82,17.84,5.0,2026-07-02 22:13:50.178483,Rawalpindi,22,2,7,0.0,28.94
745.74,0.0,9.29,70.11,5.57,83.57,90.65,12.53,5.0,2026-07-03 00:02:12.237286,Rawalpindi,0,3,7,0.0,28.94
606.0,0.38,5.44,111.66,3.49,63.48,69.84,12.49,4.0,2026-07-03 04:39:09.734233,Rawalpindi,4,3,7,-1.0,32.27
437.72,0.15,1.6,153.51,2.08,49.94,55.43,8.78,4.0,2026-07-03 07:59:15.366813,Rawalpindi,7,3,7,0.0,35.05
384.67,0.13,1.57,153.02,1.43,42.57,47.85,8.42,4.0,2026-07-03 10:41:12.920325,Rawalpindi,10,3,7,0.0,37.27
457.71,0.29,8.08,134.39,1.51,43.21,49.19,17.61,3.0,2026-07-03 12:54:19.600909,Rawalpindi,12,3,7,-1.0,36.16
678.2,0.0,21.92,84.8,2.21,45.17,53.82,41.8,3.0,2026-07-03 15:07:06.460361,Rawalpindi,15,3,7,0.0,31.72
805.17,0.0,24.88,61.06,2.13,51.67,62.63,53.13,4.0,2026-07-03 17:20:32.076634,Rawalpindi,17,3,7,1.0,30.61
836.32,0.0,23.36,51.59,1.79,56.22,68.76,57.38,4.0,2026-07-03 19:13:12.371298,Rawalpindi,19,3,7,0.0,29.49
839.1,0.0,21.94,49.9,1.97,63.46,77.02,81.68,4.0,2026-07-03 20:59:27.530660,Rawalpindi,20,3,7,0.0,28.94
861.9,0.0,22.49,47.74,2.1,67.13,81.05,95.95,4.0,2026-07-03 22:09:16.906499,Rawalpindi,22,3,7,0.0,31.93
935.21,0.0,25.04,42.57,2.46,75.25,89.97,129.81,5.0,2026-07-04 00:01:08.538507,Rawalpindi,0,4,7,1.0,28.38
607.62,0.57,5.36,144.75,2.54,62.17,79.46,33.22,4.0,2026-07-04 04:31:11.084285,Rawalpindi,4,4,7,-1.0,34.49
379.59,0.11,1.08,153.03,1.37,52.78,67.12,13.46,4.0,2026-07-04 07:41:27.811422,Rawalpindi,7,4,7,0.0,36.72
355.74,0.1,1.05,146.89,1.09,50.78,65.38,12.56,4.0,2026-07-04 10:04:51.917276,Rawalpindi,10,4,7,0.0,39.49
344.22,0.09,1.48,140.44,0.96,49.62,66.08,12.88,4.0,2026-07-04 12:03:54.033252,Rawalpindi,12,4,7,0.0,38.94
499.77,0.08,13.31,114.41,1.96,51.59,67.3,37.44,4.0,2026-07-04 14:25:35.908815,Rawalpindi,14,4,7,0.0,36.16
648.1,0.0,19.48,94.34,2.79,59.4,77.11,70.04,4.0,2026-07-04 15:57:54.939815,Rawalpindi,15,4,7,0.0,35.61
694.2,0.0,19.52,87.49,2.98,63.74,82.63,75.03,4.0,2026-07-04 17:08:10.979626,Rawalpindi,17,4,7,0.0,34.49
717.86,0.0,15.86,83.25,2.8,72.67,94.04,60.07,4.0,2026-07-04 19:04:01.469762,Rawalpindi,19,4,7,0.0,32.27
728.67,0.0,12.06,84.16,2.83,83.37,106.02,52.85,5.0,2026-07-04 20:51:25.722433,Rawalpindi,20,4,7,1.0,31.16
745.15,0.0,11.21,81.61,2.83,87.8,110.58,53.64,5.0,2026-07-04 21:54:49.208537,Rawalpindi,21,4,7,0.0,30.61
771.43,0.0,11.15,78.04,2.85,91.81,114.7,58.6,5.0,2026-07-04 22:54:27.599118,Rawalpindi,22,4,7,0.0,30.61
803.74,0.0,11.59,74.39,2.97,95.47,118.5,67.04,5.0,2026-07-04 23:58:26.038834,Rawalpindi,23,4,7,0.0,30.05
620.64,0.31,4.06,135.82,3.61,83.99,112.75,25.08,5.0,2026-07-05 03:41:20.272313,Rawalpindi,3,5,7,0.0,36.75
440.23,0.11,1.13,153.18,2.19,71.56,97.33,15.57,4.0,2026-07-05 07:21:08.123349,Rawalpindi,7,5,7,-1.0,37.83
340.47,0.09,1.0,139.68,1.28,54.7,77.47,11.99,4.0,2026-07-05 10:07:08.690959,Rawalpindi,10,5,7,0.0,40.05
325.65,0.08,1.36,136.11,1.18,51.67,75.36,11.95,4.0,2026-07-05 12:12:43.956572,Rawalpindi,12,5,7,0.0,41.77
524.54,0.05,12.15,115.8,1.96,63.62,83.81,30.75,4.0,2026-07-05 14:28:40.585751,Rawalpindi,14,5,7,0.0,40.44
670.39,0.0,17.05,94.91,2.41,70.5,90.21,46.66,4.0,2026-07-05 16:03:23.503321,Rawalpindi,16,5,7,0.0,38.17
731.81,0.0,16.27,87.77,2.56,71.6,90.96,47.35,4.0,2026-07-05 17:58:55.312722,Rawalpindi,17,5,7,0.0,33.94
720.16,0.0,14.27,87.28,2.56,68.99,88.65,44.53,4.0,2026-07-05 19:24:24.112366,Rawalpindi,19,5,7,0.0,33.38
740.96,0.0,13.06,76.67,2.45,66.63,87.21,46.33,4.0,2026-07-05 20:53:48.250429,Rawalpindi,20,5,7,0.0,32.27
753.1,0.0,12.97,68.25,2.26,65.95,86.28,48.79,4.0,2026-07-05 21:57:42.588782,Rawalpindi,21,5,7,0.0,31.72
773.08,0.0,13.43,60.25,2.17,65.92,85.79,53.06,4.0,2026-07-05 23:01:58.806593,Rawalpindi,23,5,7,0.0,31.72
927.79,2.65,16.72,50.16,2.51,66.81,86.81,54.25,4.0,2026-07-06 02:43:53.439452,Rawalpindi,2,6,7,0.0,35.69
448.47,0.14,1.47,157.22,2.98,54.4,81.77,15.14,4.0,2026-07-06 07:08:18.724429,Rawalpindi,7,6,7,0.0,39.91
327.81,0.1,1.78,147.04,1.96,44.58,70.67,11.24,4.0,2026-07-06 12:00:06.791704,Rawalpindi,12,6,7,0.0,43.01
665.72,0.0,10.57,129.7,4.42,61.78,71.77,28.74,4.0,2026-07-06 15:50:25.234908,Rawalpindi,15,6,7,0.0,38.31
688.35,0.0,8.81,121.4,3.69,65.89,74.92,25.29,4.0,2026-07-06 18:08:17.751175,Rawalpindi,18,6,7,0.0,35.86
659.04,0.0,5.86,120.93,3.56,68.0,77.25,21.26,4.0,2026-07-06 20:50:16.857698,Rawalpindi,20,6,7,0.0,32.45
646.65,0.0,5.05,120.98,3.69,68.51,77.76,20.13,4.0,2026-07-06 22:10:22.273622,Rawalpindi,22,6,7,0.0,28.38
661.7,0.0,4.59,110.75,3.52,70.0,79.3,22.37,4.0,2026-07-07 00:03:33.613414,Rawalpindi,0,7,7,0.0,28.38
791.37,0.59,5.27,127.54,3.78,81.2,89.84,17.04,5.0,2026-07-07 04:46:33.360504,Rawalpindi,4,7,7,1.0,33.94
598.71,0.14,1.56,174.16,4.5,77.54,89.63,9.44,5.0,2026-07-07 08:18:45.274210,Rawalpindi,8,7,7,0.0,36.16
491.21,0.1,2.1,161.51,2.97,62.87,79.48,9.72,4.0,2026-07-07 11:43:32.147145,Rawalpindi,11,7,7,-1.0,38.38
584.24,0.09,15.96,107.29,2.86,54.96,75.65,30.59,4.0,2026-07-07 14:21:27.523328,Rawalpindi,14,7,7,0.0,35.61
857.26,0.0,23.29,69.17,2.88,67.73,87.26,51.14,4.0,2026-07-07 17:09:33.453845,Rawalpindi,17,7,7,0.0,33.38
1008.34,0.0,20.78,67.02,3.28,84.25,102.21,64.88,5.0,2026-07-07 19:48:43.526410,Rawalpindi,19,7,7,1.0,32.27
1053.82,0.0,19.96,68.49,3.68,92.92,110.42,76.86,5.0,2026-07-07 21:19:40.013255,Rawalpindi,21,7,7,0.0,31.72
1133.96,0.0,18.78,66.44,4.32,105.55,121.99,98.91,5.0,2026-07-07 22:56:40.334768,Rawalpindi,22,7,7,0.0,30.61
1163.64,0.0,18.28,63.23,4.41,110.23,126.35,104.7,5.0,2026-07-07 23:56:26.535705,Rawalpindi,23,7,7,0.0,30.61
1217.19,0.55,18.14,53.49,3.27,108.4,123.81,70.54,5.0,2026-07-08 02:28:43.110878,Rawalpindi,2,8,7,0.0,31.72
508.01,0.1,1.52,162.52,5.51,67.3,95.77,13.0,4.0,2026-07-08 05:46:58.698149,Rawalpindi,5,8,7,-1.0,37.66
483.9,0.1,1.37,163.7,4.61,67.16,94.98,12.32,4.0,2026-07-08 08:20:00.241070,Rawalpindi,8,8,7,0.0,39.96
477.74,0.15,2.39,161.75,3.42,67.58,94.02,13.59,4.0,2026-07-08 11:00:32.254671,Rawalpindi,11,8,7,0.0,41.0
525.2,0.19,7.22,141.12,2.74,66.68,93.39,19.81,4.0,2026-07-08 12:47:48.918328,Rawalpindi,12,8,7,0.0,39.96
858.81,0.0,22.72,80.6,3.99,72.67,88.14,62.88,4.0,2026-07-08 17:25:14.302169,Rawalpindi,17,8,7,0.0,34.74
884.76,0.0,17.54,79.15,3.85,80.42,96.47,53.51,5.0,2026-07-08 19:18:12.766438,Rawalpindi,19,8,7,1.0,28.94
899.66,0.0,13.03,78.55,3.95,86.34,102.79,48.59,5.0,2026-07-08 21:02:29.537679,Rawalpindi,21,8,7,0.0,28.94
918.43,0.0,10.1,76.73,4.05,90.79,107.13,45.41,5.0,2026-07-08 23:01:04.737246,Rawalpindi,23,8,7,0.0,27.83
998.88,0.81,10.5,73.79,4.07,93.2,107.07,39.32,5.0,2026-07-09 02:31:18.177215,Rawalpindi,2,9,7,0.0,30.61
631.21,0.14,1.77,172.02,3.77,88.66,111.57,17.67,5.0,2026-07-09 06:41:18.861731,Rawalpindi,6,9,7,0.0,35.61
478.31,0.1,1.42,161.96,1.93,67.6,91.83,13.84,4.0,2026-07-09 10:21:13.869372,Rawalpindi,10,9,7,-1.0,38.38
659.05,0.04,12.05,133.89,2.13,84.31,113.2,27.77,5.0,2026-07-09 13:45:51.789783,Rawalpindi,13,9,7,1.0,36.16
802.1,0.0,16.07,113.14,2.31,89.6,114.53,37.75,5.0,2026-07-09 16:24:41.983160,Rawalpindi,16,9,7,0.0,34.49
941.38,0.0,17.52,92.65,2.51,92.42,112.2,51.75,5.0,2026-07-09 18:48:20.138699,Rawalpindi,18,9,7,0.0,32.83
953.33,0.0,13.43,88.08,2.53,93.02,110.46,47.04,5.0,2026-07-09 20:44:02.518045,Rawalpindi,20,9,7,0.0,31.16
956.59,0.0,11.46,88.2,2.85,94.22,110.45,44.59,5.0,2026-07-09 22:18:09.487924,Rawalpindi,22,9,7,0.0,30.61
994.2,0.0,9.55,84.64,3.91,101.51,115.74,43.89,5.0,2026-07-10 00:00:41.588819,Rawalpindi,0,10,7,0.0,28.38
721.21,0.33,3.85,140.55,7.95,96.56,122.45,20.42,5.0,2026-07-10 04:46:06.305187,Rawalpindi,4,10,7,0.0,35.77
490.56,0.14,1.63,159.74,5.13,88.14,124.12,14.43,5.0,2026-07-10 08:17:47.661174,Rawalpindi,8,10,7,0.0,37.83
371.79,0.08,1.97,150.88,3.05,74.07,121.06,12.77,4.0,2026-07-10 11:47:02.606935,Rawalpindi,11,10,7,-1.0,41.28
358.17,0.02,4.34,140.66,2.81,66.11,104.52,14.27,4.0,2026-07-10 14:11:42.055653,Rawalpindi,14,10,7,0.0,38.69
404.47,0.0,5.99,124.8,4.52,67.45,109.44,19.57,4.0,2026-07-10 16:52:06.862720,Rawalpindi,16,10,7,0.0,36.24
427.11,0.0,6.15,117.76,5.54,67.67,109.88,20.9,4.0,2026-07-10 18:20:35.150501,Rawalpindi,18,10,7,0.0,35.1
510.6,0.0,6.27,103.25,6.68,70.8,109.58,24.56,4.0,2026-07-10 20:19:05.539477,Rawalpindi,20,10,7,0.0,30.61
614.26,0.0,5.62,96.35,7.04,75.97,105.31,26.28,5.0,2026-07-10 21:57:28.140281,Rawalpindi,21,10,7,1.0,31.34
652.52,0.0,5.15,95.74,7.1,78.16,103.69,26.03,5.0,2026-07-10 22:59:13.768307,Rawalpindi,22,10,7,0.0,31.07
687.86,0.0,4.77,95.7,6.84,80.51,102.17,25.32,5.0,2026-07-11 00:03:48.064035,Rawalpindi,0,11,7,0.0,30.85
651.0,0.33,4.29,113.83,5.56,76.35,92.07,15.59,5.0,2026-07-11 04:09:24.035667,Rawalpindi,4,11,7,0.0,34.34
383.44,0.15,1.41,136.47,4.64,64.93,110.82,10.02,4.0,2026-07-11 07:09:00.296476,Rawalpindi,7,11,7,-1.0,37.61
298.94,0.11,1.07,132.72,3.26,60.09,112.42,8.64,4.0,2026-07-11 09:23:30.271613,Rawalpindi,9,11,7,0.0,39.05
379.84,0.41,5.8,124.53,3.1,67.66,121.09,19.23,4.0,2026-07-11 11:00:25.969187,Rawalpindi,11,11,7,0.0,40.34
433.43,0.39,9.75,117.49,3.22,70.88,126.13,25.0,4.0,2026-07-11 11:58:59.320576,Rawalpindi,11,11,7,0.0,39.12
509.52,0.04,14.67,104.79,3.5,76.08,134.11,31.25,5.0,2026-07-11 13:36:36.481044,Rawalpindi,13,11,7,1.0,38.8
485.1,0.0,11.64,108.65,3.66,77.53,135.73,28.72,5.0,2026-07-11 14:48:27.991433,Rawalpindi,14,11,7,0.0,37.84
402.6,0.0,5.93,127.26,4.43,77.13,138.8,21.79,5.0,2026-07-11 15:51:20.172447,Rawalpindi,15,11,7,0.0,35.41
401.05,0.0,4.82,130.99,5.22,78.37,140.14,21.27,5.0,2026-07-11 16:52:09.243640,Rawalpindi,16,11,7,0.0,33.71
422.25,0.0,4.68,129.93,5.99,80.08,139.58,21.73,5.0,2026-07-11 17:51:59.902756,Rawalpindi,17,11,7,0.0,34.38
446.78,0.0,4.71,124.39,6.5,80.59,135.64,21.65,5.0,2026-07-11 18:55:22.817567,Rawalpindi,18,11,7,0.0,32.82
476.68,0.0,4.53,120.01,6.51,81.25,126.7,21.2,5.0,2026-07-11 20:04:02.992869,Rawalpindi,20,11,7,0.0,32.35
525.39,0.0,3.76,115.31,5.73,78.28,101.07,15.49,5.0,2026-07-11 21:44:22.577010,Rawalpindi,21,11,7,0.0,31.66
539.05,0.0,3.47,114.0,5.57,72.37,86.24,10.91,4.0,2026-07-11 22:42:11.433550,Rawalpindi,22,11,7,-1.0,31.18
542.02,0.0,3.21,112.1,5.09,65.22,73.54,7.41,4.0,2026-07-11 23:51:04.180139,Rawalpindi,23,11,7,0.0,30.44
507.19,0.01,3.1,111.36,2.71,51.34,56.85,6.66,4.0,2026-07-12 02:14:16.962534,Rawalpindi,2,12,7,0.0,25.5
451.2,0.21,1.75,130.24,1.6,41.36,49.55,8.76,3.0,2026-07-12 05:52:42.847931,Rawalpindi,5,12,7,-1.0,30.35
380.3,0.13,1.06,133.19,1.38,41.94,56.0,6.78,3.0,2026-07-12 08:09:32.520208,Rawalpindi,8,12,7,0.0,32.61
357.12,0.11,1.15,133.97,1.43,43.34,57.89,6.92,3.0,2026-07-12 10:22:58.895060,Rawalpindi,10,12,7,0.0,34.26
363.44,0.12,2.07,135.17,1.68,46.55,61.73,8.97,3.0,2026-07-12 11:55:54.046147,Rawalpindi,11,12,7,0.0,33.22
280.66,0.12,3.36,124.08,0.8,34.02,44.02,10.17,3.0,2026-07-12 13:09:29.627231,Rawalpindi,13,12,7,0.0,37.53
373.5,0.0,8.38,106.43,1.22,39.96,52.04,20.75,3.0,2026-07-12 14:52:22.020327,Rawalpindi,14,12,7,0.0,33.82
426.42,0.0,10.74,92.52,1.33,42.81,55.58,29.22,3.0,2026-07-12 15:55:25.890090,Rawalpindi,15,12,7,0.0,29.49
496.63,0.0,14.05,75.86,1.38,46.07,59.45,38.55,3.0,2026-07-12 16:54:43.527237,Rawalpindi,16,12,7,0.0,32.04
562.14,0.0,16.96,61.91,1.34,48.58,62.54,44.45,3.0,2026-07-12 17:56:44.432981,Rawalpindi,17,12,7,0.0,32.19
602.76,0.0,18.6,51.17,1.23,49.74,64.15,48.78,3.0,2026-07-12 19:02:39.866712,Rawalpindi,19,12,7,0.0,32.16
659.34,0.0,19.74,39.22,1.34,53.01,69.17,66.62,4.0,2026-07-12 20:39:31.967378,Rawalpindi,20,12,7,1.0,24.85
679.5,0.0,20.21,36.65,1.53,56.14,73.29,80.45,4.0,2026-07-12 21:43:50.887630,Rawalpindi,21,12,7,0.0,24.23
698.8,0.0,20.5,34.82,1.67,58.91,77.26,91.74,4.0,2026-07-12 22:42:25.954279,Rawalpindi,22,12,7,0.0,25.15
717.45,0.0,20.7,33.02,1.76,61.73,81.39,99.7,4.0,2026-07-12 23:49:05.409328,Rawalpindi,23,12,7,0.0,25.11
783.67,1.41,20.34,29.32,1.71,63.58,86.29,88.1,4.0,2026-07-13 02:21:50.255463,Rawalpindi,2,13,7,0.0,26.98
387.11,0.17,1.63,142.63,2.91,43.79,60.12,11.93,4.0,2026-07-13 06:11:33.285177,Rawalpindi,6,13,7,0.0,33.94
327.72,0.09,1.33,135.0,1.4,41.32,55.01,9.72,3.0,2026-07-13 10:20:42.037350,Rawalpindi,10,13,7,-1.0,34.92
410.78,0.27,8.25,121.68,1.58,42.93,56.01,20.97,3.0,2026-07-13 13:18:12.885770,Rawalpindi,13,13,7,0.0,36.16
702.88,0.0,23.68,85.19,2.94,54.09,68.59,69.02,4.0,2026-07-13 16:27:55.713454,Rawalpindi,16,13,7,1.0,30.26
817.35,0.0,23.52,58.6,2.5,65.71,82.18,74.29,4.0,2026-07-13 18:40:53.312178,Rawalpindi,18,13,7,0.0,28.03
